"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"DELL Vostro 3500 15.6''/i3/8GB/512GB/W10P prenosni računalnik","594,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"APPLE MacBook Pro M1 MAX Pro with 10C CPU and 24C GPU, 64GB unified, 1TB SSD, US English tipkovnica prenosni računalnik, Space Gray","4.099,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 5515 Ryzen 5 15,6''FHD/UMA/W11Home siv","949,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO V15 G2 R3 5300U 8GB 256GB W11H","399,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"Asus B1400CEAE-EK0331R 14''/i5/8GB/256GB/W10 Pro","770,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"APPLE MacBook Pro 14 M2 PRO 16G/512G-ZEE prenosni računalnik Silver","2.617,99 €","APPLE","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ROG Zephyrus M16 GU604VZ-NM008X Core i9-13900H/32GB/2x1TB/RTX 4080/W11P gaming prenosni računalnik","4.099,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS Vivobook Go 14 E410KA-EB509 N6000 35,6 cm (14"")/Intel Pentium Silver N6000/8GB/512GB/W11 Home prenosni računalnik","364,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"APPLE MacBook Air 15.3 M2 (8/10)/8GB/512GB/macOS Ventura/Midnight prenosni računalnik","1.979,99 €","APPLE","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS X515EA-BQ511W (16GB) i5-1135G7/16GB/512GB prenosni računalnik","899,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP 15s-fq2005nm 39,6 cm (15,6"")/i5-1135G7/Intel Iris/8GB/256GB/W10 Home prenosni računalnik","549,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
